run_id,pair_id,protocol,nodes,delay_ms,fault,repeat,driver_success_rate,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,node_commit_completeness,final_protocol_messages_sent,final_protocol_bytes_sent,max_accepted_view,recovered_sequence_count,recovery_latency_p50_ms,safety_violation_events,conflicting_commit_count,invalid_view_change_events,invalid_new_view_events,reputation_order,group_map,group_leaders,l_gl,runtime_grouping_verified,peak_aggregate_memory_bytes,peak_aggregate_cpu_percent,peak_aggregate_network_bytes
b4-m24-d5-f1-r6-pbft-groupingv2,b4-m24-d5-f1-r6,pbft,24,5,f1,6,1.0,2217.704414,2217.704414,2217.704414,0.9583333333333334,1103,405792,1,1,185.410752,0,0,0,0,,,,,False,334465323,48.790000000000006,1531960
b4-m24-d5-f2-r6-rgg-groupingv2,b4-m24-d5-f2-r6,rgg,24,5,f2,6,1.0,2149.537628,2149.537628,2149.537628,0.9583333333333334,349,199375,1,1,119.680151,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,341385926,52.61,1500279
b4-m24-d5-f2-r6-pbft-groupingv2,b4-m24-d5-f2-r6,pbft,24,5,f2,6,1.0,2247.207928,2247.207928,2247.207928,0.9583333333333334,1438,501365,1,1,149.081994,0,0,0,0,,,,,False,378231837,118.75000000000001,2272360
b4-m24-d5-f3-r6-rgg-groupingv2,b4-m24-d5-f3-r6,rgg,24,5,f3,6,1.0,2224.974675,2224.974675,2224.974675,0.9583333333333334,607,275491,1,1,108.198226,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,375524413,85.83,1825830
b4-m24-d5-f3-r6-pbft-groupingv2,b4-m24-d5-f3-r6,pbft,24,5,f3,6,1.0,2239.683263,2239.683263,2239.683263,0.9583333333333334,1172,425517,1,1,157.465535,0,0,0,0,,,,,False,362669923,84.93000000000002,1614460
b4-m24-d5-f4-r6-rgg-groupingv2,b4-m24-d5-f4-r6,rgg,24,5,f4,6,1.0,106.963343,106.963343,106.963343,1.0,277,173357,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,0,0.0,0
b4-m24-d5-f4-r6-pbft-groupingv2,b4-m24-d5-f4-r6,pbft,24,5,f4,6,1.0,2242.812609,2242.812609,2242.812609,1.0,1449,504650,1,1,151.621251,0,0,0,0,,,,,False,377298603,103.87,2265990
b4-m24-d5-f2l-r6-rgg-groupingv2,b4-m24-d5-f2l-r6,rgg,24,5,f2l,6,1.0,2217.689926,2217.689926,2217.689926,0.9583333333333334,604,274622,1,1,113.815049,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,376680994,94.10999999999999,2002380
b4-m24-d5-f5-r6-rgg-groupingv2,b4-m24-d5-f5-r6,rgg,24,5,f5,6,1.0,4139.651774,4139.651774,4139.651774,1.0,379,229231,2,1,2114.418554,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,334842809,43.059999999999995,1341340
b4-m16-d5-f1-r7-pbft-groupingv2,b4-m16-d5-f1-r7,pbft,16,5,f1,7,1.0,632.333005,632.333005,632.333005,0.9375,479,181520,1,1,110.557893,0,0,0,0,,,,,False,268240413,104.14999999999999,1639720
b4-m16-d5-f1-r7-rgg-groupingv2,b4-m16-d5-f1-r7,rgg,16,5,f1,7,1.0,641.904097,641.904097,641.904097,0.9375,166,116632,1,1,86.715767,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,251254531,79.96000000000001,1140040
b4-m16-d5-f2-r7-pbft-groupingv2,b4-m16-d5-f2-r7,pbft,16,5,f2,7,1.0,683.910779,683.910779,683.910779,0.9375,638,226856,1,1,87.484358,0,0,0,0,,,,,False,269232365,146.69,1917180
b4-m16-d5-f2-r7-rgg-groupingv2,b4-m16-d5-f2-r7,rgg,16,5,f2,7,1.0,624.637819,624.637819,624.637819,0.9375,173,118636,1,1,101.605328,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,251989581,68.49999999999999,1153020
b4-m16-d5-f3-r7-pbft-groupingv2,b4-m16-d5-f3-r7,pbft,16,5,f3,7,1.0,680.173859,680.173859,680.173859,0.9375,524,194411,1,1,113.84032,0,0,0,0,,,,,False,267007287,101.39,1718920
b4-m16-d5-f3-r7-rgg-groupingv2,b4-m16-d5-f3-r7,rgg,16,5,f3,7,1.0,690.770957,690.770957,690.770957,0.9375,283,152641,1,1,97.707269,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,252778113,104.22,1365440
b4-m16-d5-f4-r7-pbft-groupingv2,b4-m16-d5-f4-r7,pbft,16,5,f4,7,1.0,693.073947,693.073947,693.073947,1.0,645,228933,1,1,101.054754,0,0,0,0,,,,,False,268047474,101.01999999999998,1960459
b4-m16-d5-f4-r7-rgg-groupingv2,b4-m16-d5-f4-r7,rgg,16,5,f4,7,1.0,656.077584,656.077584,656.077584,1.0,243,153821,1,1,142.126896,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,253270942,72.73,1306710
b4-m16-d5-f2l-r7-rgg-groupingv2,b4-m16-d5-f2l-r7,rgg,16,5,f2l,7,1.0,677.597538,677.597538,677.597538,0.9375,280,151769,1,1,98.913319,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,254133920,71.75000000000001,1371900
