scenario,strategy,count,honest_p,byz_exploit_p,obs_error_p,cold_start_exclusion_rate,post_exposure_miss_rate,mean_post_exposure_first_exclusion_delay,p50_post_exposure_first_exclusion_delay,p95_post_exposure_first_exclusion_delay,mean_stable_h3_delay,stable_h3_miss_rate,mean_stable_h5_delay,stable_h5_miss_rate,mean_post_attack_miss_rate,mean_re_entry_count,mean_honest_demotion_rate,mean_byzantine_leader_rounds
P_T1_h095_b050_e05,decay-90,100,0.95,0.5,0.05,0.105,0.0,0.7988826815642458,0,4,0.7988826815642458,0.0,0.7988826815642458,0.0,0.013473684210526315,0.0,0.4763496584207282,5.72
P_T1_h095_b050_e05,decay-95,100,0.95,0.5,0.05,0.105,0.0,0.7988826815642458,0,4,0.7988826815642458,0.0,0.7988826815642458,0.0,0.013473684210526315,0.0,0.4737955444117721,5.72
P_T1_h095_b050_e05,decay-99,100,0.95,0.5,0.05,0.105,0.0,0.7988826815642458,0,4,0.7988826815642458,0.0,0.7988826815642458,0.0,0.013473684210526315,0.0,0.4633426002912966,5.72
P_T1_h095_b050_e05,sliding-w-10,100,0.95,0.5,0.05,0.105,0.0,0.8603351955307262,0,4,0.9050279329608939,0.0,0.9832402234636871,0.0,0.01831578947368421,0.26,0.48216180614096926,6.18
P_T1_h095_b050_e05,sliding-w-20,100,0.95,0.5,0.05,0.105,0.0,0.8770949720670391,0,4,0.9217877094972067,0.0,1.0167597765363128,0.0,0.016526315789473684,0.07,0.4784205181829553,6.01
P_T1_h095_b050_e05,sliding-w-5,100,0.95,0.5,0.05,0.01,0.0,2.207070707070707,0,6,2.282828282828283,0.0,2.308080808080808,0.0,0.07357894736842105,2.83,0.4640633983903163,11.43
P_T1_h095_b080_e00,cumulative,100,0.95,0.8,0.0,0.055,0.0,4.042328042328043,2,14,4.142857142857143,0.0,4.3121693121693125,0.0,0.068,0.14,0.42435012905032926,11.35
P_T1_h095_b080_e00,decay-90,100,0.95,0.8,0.0,0.055,0.0,3.931216931216931,2,13,3.931216931216931,0.0,3.931216931216931,0.0,0.06547368421052631,0.09,0.4502808428400575,11.11
P_T1_h095_b080_e00,decay-95,100,0.95,0.8,0.0,0.055,0.0,3.931216931216931,2,13,3.931216931216931,0.0,3.931216931216931,0.0,0.0608421052631579,0.01,0.45123709067413714,10.67
P_T1_h095_b080_e00,decay-99,100,0.95,0.8,0.0,0.055,0.0,3.931216931216931,2,13,3.931216931216931,0.0,3.931216931216931,0.0,0.060315789473684205,0.0,0.4404739465158364,10.62
P_T1_h095_b080_e00,sliding-w-10,100,0.95,0.8,0.0,0.005,0.005025125628140704,4.944444444444445,3,16,4.944444444444445,0.005025125628140704,4.984848484848484,0.005025125628140704,0.2421052631578947,3.57,0.4305569836545966,27.89
P_T1_h095_b080_e00,sliding-w-20,100,0.95,0.8,0.0,0.03,0.0,5.520618556701031,3,16,5.56701030927835,0.0,5.757731958762887,0.0,0.09747368421052631,0.83,0.4559493519554557,14.15
P_T1_h095_b080_e00,sliding-w-5,100,0.95,0.8,0.0,0.0,0.0,3.93,2,13,4.255,0.0,4.515,0.0,0.5602105263157895,11.99,0.36446454122373867,58.11
P_T1_h095_b080_e02,cumulative,100,0.95,0.8,0.02,0.075,0.0,3.281081081081081,1,15,3.383783783783784,0.0,3.5837837837837836,0.0,0.06736842105263158,0.31,0.437861899224973,11.0
