seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
118,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_post_snapshot,True,,2664,1784131681178,0,,False
119,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_post_snapshot,True,,2669,1784131681175,0,,False
120,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_post_snapshot,True,,2669,1784131681175,0,,False
121,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_post_snapshot,True,,2671,1784131681174,0,,False
122,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_post_snapshot,True,,2670,1784131681176,0,,False
123,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_query_confirmation,True,,183,1784131683839,0,,False
124,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_query_confirmation,True,,181,1784131683841,0,,False
125,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_query_confirmation,True,,187,1784131683836,0,,False
126,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_query_confirmation,True,,179,1784131683846,0,,False
127,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_query_confirmation,True,,183,1784131683844,0,,False
128,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_query_confirmation,True,,195,1784131683844,0,,False
129,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_query_confirmation,True,,195,1784131683845,0,,False
130,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_query_confirmation,True,,248,1784131683842,0,,False
131,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_vote_1,True,,2303,1784131684040,0,,False
132,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_vote_1,True,,2305,1784131684039,0,,False
133,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_vote_1,True,,2321,1784131684025,0,,False
134,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_vote_1,True,,2321,1784131684027,0,,False
135,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_vote_1,True,,2326,1784131684022,0,,False
136,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_vote_1,True,,2326,1784131684023,0,,False
137,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_vote_1,True,,2259,1784131684090,0,,False
138,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_vote_1,True,,2328,1784131684022,0,,False
139,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_vote_2,True,,2331,1784131686349,0,,False
140,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_vote_2,True,,2333,1784131686348,0,,False
141,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_vote_2,True,,2333,1784131686349,0,,False
142,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_vote_2,True,,2338,1784131686344,0,,False
143,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_vote_2,True,,2335,1784131686348,0,,False
144,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_vote_2,True,,2338,1784131686346,0,,False
145,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_vote_2,True,,2342,1784131686343,0,,False
146,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_vote_2,True,,2336,1784131686350,0,,False
147,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_settlement,True,,2401,1784131688681,0,,False
148,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_settlement,True,,2404,1784131688682,0,,False
149,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_settlement,True,,2407,1784131688680,0,,False
150,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_settlement,True,,2402,1784131688685,0,,False
151,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_settlement,True,,2405,1784131688682,0,,False
152,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_settlement,True,,2405,1784131688683,0,,False
153,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_settlement,True,,2403,1784131688686,0,,False
154,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_settlement,True,,2406,1784131688684,0,,False
155,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_query_final,True,,569,1784131691087,0,,False
156,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_query_final,True,,572,1784131691086,0,,False
157,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_query_final,True,,585,1784131691082,0,,False
158,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_query_final,True,,578,1784131691090,0,,False
159,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_query_final,True,,582,1784131691088,0,,False
160,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_query_final,True,,581,1784131691089,0,,False
161,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_query_final,True,,586,1784131691087,0,,False
162,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,ipfs_verify,True,,18,1784131691656,0,QmYrJvdcnignaiN2UAt51vtqvmsQcMZrxiujbuHJZDprUU,False
163,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,ipfs_verify,True,,18,1784131691658,0,QmNRgTfuNkzSkqGTAY9EcXMRjjYdFxgz2w2aGjfqaVVpfH,False
164,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,ipfs_verify,True,,15,1784131691668,0,QmNfQ8SHKYarJCLeUyLykV2FdwKZ55b4bPhBedRxjc24Ek,False
165,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,ipfs_verify,True,,11,1784131691673,0,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,False
166,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,ipfs_verify,True,,18,1784131691667,0,QmWMGWGSJSvWG7tjbL6BYNhrhZ8ZnLpwhf4nt56Sso3y2t,False
167,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,ipfs_verify,True,,16,1784131691670,0,QmctbwpW2kxqcQhGGdzmH4uo5n3tYJGfu13qpeDrXZRiii,False
168,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,ipfs_verify,True,,22,1784131691670,0,QmXCxqvbVnqfsG2xgggHL4parfqkapTpYBpQaV9143YBQ8,False
169,e10-resource-c8-r1,e10-resource-c8-r1-task-0017,ipfs_add,True,,70,1784131691676,114439,,False
170,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_query_final,True,,666,1784131691087,0,,False
171,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,ipfs_verify,True,,18,1784131691753,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,False
172,e10-resource-c8-r1,e10-resource-c8-r1-task-0016,ipfs_add,True,,102,1784131691674,142778,,False
173,e10-resource-c8-r1,e10-resource-c8-r1-task-0019,ipfs_add,True,,117,1784131691684,120895,,False
174,e10-resource-c8-r1,e10-resource-c8-r1-task-0020,ipfs_add,True,,138,1784131691685,138253,,False
175,e10-resource-c8-r1,e10-resource-c8-r1-task-0018,ipfs_add,True,,160,1784131691684,129894,,False
176,e10-resource-c8-r1,e10-resource-c8-r1-task-0021,ipfs_add,True,,179,1784131691687,167835,,False
177,e10-resource-c8-r1,e10-resource-c8-r1-task-0022,ipfs_add,True,,195,1784131691693,131198,,False
178,e10-resource-c8-r1,e10-resource-c8-r1-task-0023,ipfs_add,True,,155,1784131691771,123878,,False
179,e10-resource-c8-r1,e10-resource-c8-r1-task-0017,fabric_post_task,True,,2393,1784131691746,114439,QmSFECwP8d1a1GBZQaswZ3NQzRfDsmks9eCS2avwUcsPiB,False
180,e10-resource-c8-r1,e10-resource-c8-r1-task-0022,fabric_post_task,True,,2251,1784131691888,131198,QmYSnVQkhAmYkH2RKsn1UiZk6BbE6HMEt1DRoLMzxFLLSP,False
181,e10-resource-c8-r1,e10-resource-c8-r1-task-0019,fabric_post_task,True,,2339,1784131691801,120895,QmbWqHXbMdzLENEwEPk2eXpEHAiGxQgQpCDztQWHfY929X,False
182,e10-resource-c8-r1,e10-resource-c8-r1-task-0020,fabric_post_task,True,,2319,1784131691823,138253,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,False
183,e10-resource-c8-r1,e10-resource-c8-r1-task-0021,fabric_post_task,True,,2276,1784131691866,167835,QmchBrHznTH7uRw4FQEi1if6MksmqxrVrzmj7dZS78WKsd,False
184,e10-resource-c8-r1,e10-resource-c8-r1-task-0018,fabric_post_task,True,,2306,1784131691844,129894,QmZfdgwPHySZ2ZRXyCCgnc1H5xpvJGfLQ6V6d3KLY8BHUC,False
